cardname,cardq,cardrarity,cardcondition,card_edition,cardset,cardcode,cardid 
"Alien Grey",4,"Common",M,Unlimited,"Power of the Duelist",POTD-EN024,62437709 
"Alien Hunter",4,"Common",M,Unlimited,"Power of the Duelist",POTD-EN026,62315111 
"Alien Infiltrator",8,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN033,76573247 
"Alien Mars",5,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN034,99532708 
"Alien Mother",1,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN028,24104865 
"Alien Psychic",4,"Common",M,Unlimited,"Strike of Neos",STON-EN031,58012107 
"Alien Shocktrooper",6,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN001,97127906 
"Alien Skull",5,"Common",M,Unlimited,"Power of the Duelist",POTD-EN025,25920413 
"Alien Telepath",2,"Rare",M,1st Edition,"Gladiator's Assault",GLAS-EN034,91070115 
"Alien Warrior",1,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN027,98719226 
"All-Out Attacks",8,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN075,30834988 
"Allure Queen LV3",6,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN006,87257460 
"Allure Queen LV5",3,"Rare",M,1st Edition,"Cyberdark Impact",CDIP-EN007,23756165 
"Altar for Tribute",7,"Common",M,Unlimited,"Dark Crisis",DCR-095,21070956 
"Amazoness Archer",1,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-032,91869203 
"Amazoness Blowpiper",5,"Common",M,Unlimited,"Magician's Force",MFC-062,73574678 
"Amazoness Chain Master",1,"Rare",M,Unlimited,"Dark Legends",DLG1-EN098,29654737 
"Amazoness Fighter",3,"Common",M,Unlimited,"Magician's Force",MFC-060,55821894 
"Amazoness Paladin",2,"Common",M,Unlimited,"Magician's Force",MFC-059,47480070 
"Amazoness Spellcaster",4,"Common",M,Unlimited,"Magician's Force",MFC-084,81325903 
"Amazoness Tiger",3,"Rare",M,Unlimited,"Magician's Force",MFC-063,10979723 
"Ambulance Rescueroid",4,"Common",M,Unlimited,"Power of the Duelist",POTD-EN035,98927491 
"Ambulanceroid",3,"Common",M,Unlimited,"Power of the Duelist",POTD-EN009,36378213 
"Ambush Fangs",2,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN070,77972406 
"Ameba",2,"Rare",M,Unlimited,"Magic Ruler",MRL-010,95174353 
"Amphibian Beast",4,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-008,67371383 
"Amphibious Bugroth MK-3",1,"Common",M,Unlimited,"Invasion of Chaos",IOC-081,64342551 
"Amplifier",2,"Rare",M,Unlimited,"Dark Revelation Volume 2",DR2-EN152,303660 
"Amulet of Ambition",6,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN061,5183693 
"An Owl of Luck",4,"Common",M,Unlimited,"Pharaonic Guardian",PGD-073,23927567 
"An Unfortunate Report",4,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN080,19763315 
"Ancient Brain",4,"Common",M,Unlimited,"Metal Raiders",MRD-082,42431843 
"Ancient City - Rainbow Ruins",1,"Rare",M,Unlimited,"Duelist Pack 7: Jesse Anderson",DP07-EN017,34487429 
"Ancient Elf",7,"Common",M,1st Edition,"Metal Raiders",MRD-037,93221206 
"Ancient Gear",5,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN008,31557782 
"Ancient Gear Beast",3,"Rare",M,Unlimited,"Dark Revelation Volume 3",DR3-EN187,10509340 
"Ancient Gear Cannon",8,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN009,80045583 
"Ancient Gear Castle",2,"Super Rare",M,Unlimited,"Shadow of Infinity",SOI-EN047,92001300 
"Ancient Gear Drill",6,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN040,67829249 
"Ancient Gear Factory",12,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN039,30435145 
"Ancient Gear Knight",4,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN029,39303359 
"Ancient Gear Soldier",5,"Common",M,Unlimited,"The Lost Millennium",TLM-EN008,56094445 
"Ancient Lamp",1,"Secret Rare",M,Unlimited,"Retro Pack 1",RP01-EN100,54912977 
"Ancient Lizard Warrior",4,"Common",M,Unlimited,"Metal Raiders",MRD-050,43230671 
"Ancient One of the Deep Forest",1,"Common",M,1st Edition,"Magic Ruler",MRL-018,14015067 
"Ancient Rules",2,"Rare",M,Unlimited,"Strike of Neos",STON-EN037,10667321 
"Ante",2,"Rare",M,Unlimited,"Magician's Force",MFC-034,34236961 
"Anteatereatingant",2,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN022,13250922 
"Anti-Aircraft Flower",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-076,65064143 
"Anti-Fusion Device",5,"Common",M,Unlimited,"Strike of Neos",STON-EN055,72150572 
"Anti-Spell",5,"Common",M,Unlimited,"Magician's Force",MFC-103,53112492 
"Apprentice Magician",5,"Rare",M,Unlimited,"Magician's Force",MFC-066,9156135 
"Appropriate",1,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-024,48539234 
"Aqua Madoor",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN109,85639257 
"Aqua Spirit",9,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-068,40916023 
"Arcana Call",2,"Common",M,Unlimited,"Light of Destruction",LODT-EN069,99189322 
"Arcana Force 0 - The Fool",4,"Common",M,1st Edition,"Light of Destruction",LODT-EN008,62892347 
"Arcana Force I - The Magician",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN009,8396952 
"Arcana Force III - The Empress",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN010,35781051 
"Arcana Force IV - The Emperor",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN011,61175706 
"Arcana Force VI - The Lovers",5,"Common",M,Unlimited,"Light of Destruction",LODT-EN012,97574404 
"Arcana Force VII - The Chariot",3,"Common",M,Unlimited,"Light of Destruction",LODT-EN013,34568403 
"Arcana Force XIV - Temperance",1,"Rare",M,Unlimited,"Light of Destruction",LODT-EN014,60953118 
"Arcana Force XVIII - The Moon",3,"Common",M,Unlimited,"Light of Destruction",LODT-EN015,97452817 
"Arcane Archer of the Forest",4,"Common",M,1st Edition,"Ancient Sanctuary",AST-029,55001420 
"Archfiend General",1,"Rare",M,1st Edition,"Force of the Breaker",FOTB-EN019,48675364 
"Archfiend Soldier",2,"Rare",M,Unlimited,"Dark Crisis",DCR-057,49881766 
"Archfiend's Oath",4,"Common",M,Unlimited,"Dark Crisis",DCR-092,22796548 
"Archfiend's Roar",7,"Common",M,Unlimited,"Dark Crisis",DCR-099,56246017 
"Armaill",1,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-079,53153481 
"Armed Changer",4,"Common",M,Unlimited,"Duelist Pack 2: Chazz Princeton",DP2-EN023,90374791 
"Armed Dragon LV3",14,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN013,980973 
"Armed Dragon LV5",3,"Rare",M,1st Edition,"Soul of the Duelist",SOD-EN014,46384672 
"Armed Dragon LV7",2,"Ultra Rare",M,Unlimited,"Soul of the Duelist",SOD-EN015,73879377 
"Armed Ninja",9,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-106,9076207 
"Armed Samurai - Ben Kei",4,"Common",M,Unlimited,"Flaming Eternity",FET-EN023,84430950 
"Armor Break",4,"Common",M,Unlimited,"Ancient Sanctuary",AST-055,79649195 
"Armor Breaker",3,"Rare",M,Unlimited,"Duelist Pack 6: Jaden Yuki 3",DP06-EN009,87798440 
"Armor Exe",1,"Common",M,Unlimited,"Dark Revelation Volume 1",DR1-EN130,7180418 
"Armored Cybern",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN009,67159705 
"Armored Glass",8,"Common",M,Unlimited,"Pharaoh's Servant",PSV-019,36868108 
"Armored Lizard",3,"Common",M,1st Edition,"Metal Raiders",MRD-005,15480588 
"Armored Starfish",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-116,17535588 
"Armored Zombie",4,"Common",M,1st Edition,"Metal Raiders",MRD-013,20277860 
"Array of Revealing Light",1,"Rare",M,Unlimited,"Legacy of Darkness",LOD-029,69296555 
"Arsenal Bug",2,"Common",M,Unlimited,"Pharaonic Guardian",PGD-007,42364374 
"Arsenal Robber",3,"Common",M,Unlimited,"Dark Crisis",DCR-048,55348096 
"Arsenal Summoner",8,"Common",M,Unlimited,"Dark Crisis",DCR-004,85489096 
"Assault on GHQ",1,"Rare",M,Unlimited,"Flaming Eternity",FET-EN056,62633180 
"Astral Barrier",9,"Common",M,1st Edition,"Rise of Destiny",RDS-EN059,37053871 
"Aswan Apparition",5,"Common",M,Unlimited,"Ancient Sanctuary",AST-064,88236094 
"Atlantean Pikeman",6,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN002,26976414 
"Atomic Firefly",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-024,87340664 
"Attack and Receive",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-054,63689843 
"Attack Reflector Unit",8,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN051,91989718 
"Aurkus, Lightsworn Druid",1,"Super Rare",M,Unlimited,"Light of Destruction",LODT-EN081,7183277 
"Aussa the Earth Charmer",7,"Common",M,Unlimited,"The Lost Millennium",TLM-EN026,37970940 
"Autonomous Action Unit",5,"Common",M,Unlimited,"Magician's Force",MFC-032,71453557 
"Avalanching Aussa",7,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN026,29139104 
"Avatar of The Pot",6,"Rare",M,Unlimited,"Ancient Sanctuary",AST-016,99284890 
"Axe of Despair",5,"Rare",M,Unlimited,"Retro Pack 1",RP01-EN051,40619825 
"Axe Raider",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN092,48305365 
"Aztekipede, the Worm Warrior",3,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN089,75081613 
"B.E.S. Covered Core",1,"Super Rare",M,Unlimited,"Shadow of Infinity",SOI-EN013,15317640 
"B.E.S. Crystal Core",2,"Ultimate Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN021,22790789 
"Baby Dragon",7,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN035,88819587 
"Babycerasaurus",4,"Common",M,1st Edition,"Power of the Duelist",POTD-EN022,36042004 
"Back to Square One",12,"Common",M,1st Edition,"Rise of Destiny",RDS-EN044,47453433 
"Backfire",5,"Common",M,Unlimited,"Ancient Sanctuary",AST-046,82705573 
"Backs to the Wall",5,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN052,32603633 
"Backup Soldier",2,"Super Rare",M,Unlimited,"Pharaoh's Servant",PSV-028,36280194 
"Bad Reaction to Simochi",7,"Common",M,Unlimited,"Legacy of Darkness",LOD-093,40633297 
"Bait Doll",3,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-096,7165085 
"Ballista of Rampart Smashing",5,"Common",M,Unlimited,"Rise of Destiny",RDS-EN046,242146 
"Balloon Lizard",6,"Common",M,Unlimited,"Invasion of Chaos",IOC-072,39892082 
"Bamboo Scrap",4,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN075,28062325 
"Banisher of the Light",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN044,61528025 
"Banisher of the Radiance",4,"Rare",M,Unlimited,"Enemy of Justice",EOJ-EN022,94853057 
"Banner of Courage",5,"Common",M,1st Edition,"Pharaonic Guardian",PGD-089,10012614 
"Bark of Dark Ruler",6,"Common",M,Unlimited,"Legacy of Darkness",LOD-010,41925941 
"Barrel Behind the Door",1,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN043,78783370 
"Barrel Dragon",3,"Rare",M,Unlimited,"Retro Pack 1",RP01-EN044,81480461 
"Barrier Statue of the Abyss",9,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN018,84478195 
"Barrier Statue of the Drought",6,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN022,19740112 
"Barrier Statue of the Heavens",2,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN023,46145256 
"Barrier Statue of the Inferno",7,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN020,47961808 
"Barrier Statue of the Stormwinds",7,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN021,73356503 
"Barrier Statue of the Torrent",7,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN019,10963799 
"Basic Insect",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-008,89091579 
"Battery Charger",7,"Common",M,Unlimited,"The Lost Millennium",TLM-EN041,61181383 
"Batteryman AA",8,"Common",M,Unlimited,"The Lost Millennium",TLM-EN030,63142001 
"Batteryman C",13,"Common",M,1st Edition,"Cybernetic Revolution",CRV-EN030,19733961 
"Batteryman Charger",7,"Common",M,Unlimited,"Light of Destruction",LODT-EN030,83446909 
"Batteryman D",9,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN030,55401221 
"Batteryman Industrial Strength",2,"Rare",M,Unlimited,"Light of Destruction",LODT-EN031,19441018 
"Batteryman Micro-Cell",7,"Common",M,Unlimited,"Light of Destruction",LODT-EN032,56839613 
"Battle Footballer",6,"Common",M,Unlimited,"Dark Crisis",DCR-001,48094997 
"Battle Steer",3,"Common",M,Unlimited,"Metal Raiders",MRD-064,18246479 
"Battle Tuned",6,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN048,5052212 
"Battle-Scarred",4,"Common",M,Unlimited,"Dark Crisis",DCR-097,94463200 
"Beast Fangs",5,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-041,46009906 
"Beast of the Pharaoh",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN032,83903521 
"Beast Soul Swap",4,"Common",M,1st Edition,"Flaming Eternity",FET-EN055,35149085 
"Beaver Warrior",8,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-064,32452818 
"Beckoning Light",4,"Common",M,Unlimited,"Ancient Sanctuary",AST-053,16255442 
"Beelze Frog",4,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN026,49522489 
"Begone, Knave!",8,"Common",M,Unlimited,"Invasion of Chaos",IOC-107,20374520 
"Behemoth the King of All Animals",1,"Super Rare",M,Unlimited,"Flaming Eternity",FET-EN014,22996376 
"Beiige, Vanguard of Dark World",12,"Common",M,Unlimited,"Elemental Energy",EEN-EN020,33731070 
"Berserk Gorilla",3,"Rare",M,Unlimited,"Invasion of Chaos",IOC-013,39168895 
"Bickuribox",6,"Common",M,1st Edition,"Metal Raiders",MRD-093,25655502 
"Big Bang Shot",1,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN141,61127349 
"Big Eye",3,"Common",M,Unlimited,"Metal Raiders",MRD-017,16768387 
"Big Koala",4,"Common",M,Unlimited,"Invasion of Chaos",IOC-004,42129512 
"Big Piece Golem",1,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN008,25247218 
"Big Wave Small Wave",9,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN046,51562916 
"Big-Tusked Mammoth",3,"Rare",M,Unlimited,"Flaming Eternity",FET-EN015,59380081 
"Bio-Mage",3,"Common",M,1st Edition,"Labyrinth of Nightmare",LON-043,58696829 
"Birdface",5,"Common",M,Unlimited,"Pharaonic Guardian",PGD-005,45547649 
"Birthright",1,"Super Rare",M,Unlimited,"Strike of Neos",STON-EN057,35539880 
"Bite Shoes",3,"Common",M,Unlimited,"Pharaoh's Servant",PSV-080,50122883 
"Bitelon",4,"Common",M,Unlimited,"Power of the Duelist",POTD-EN023,44702857 
"Black Dragon's Chick",11,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN017,36262024 
"Black Garden",1,"Super Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN048,71645242 
"Black Horn of Heaven",3,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN060,50323155 
"Black Illusion Ritual",11,"Common",M,Unlimited,"Retro Pack 1",RP01-EN060,41426869 
"Black Pendant",10,"Super Rare",M,Unlimited,"Magic Ruler",MRL-003,65169794 
"Black Ptera",5,"Common",M,1st Edition,"Power of the Duelist",POTD-EN018,90654356 
"Black Rose Dragon",1,"Ghost Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN039,73580471 
"Black Stego",5,"Common",M,1st Edition,"Power of the Duelist",POTD-EN019,79409334 
"Black Veloci",5,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN033,52319752 
"Blackland Fire Dragon",3,"Common",M,1st Edition,"Metal Raiders",MRD-062,87564352 
"Blade Rabbit",3,"Common",M,1st Edition,"Flaming Eternity",FET-EN018,58268433 
"Blade Skater",7,"Common",M,Unlimited,"Elemental Energy",EEN-EN003,97023549 
"Bladefly",5,"Rare",M,Unlimited,"Metal Raiders",MRD-118,28470714 
"Blast Asmodian",6,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN016,11685347 
"Blast Juggler",5,"Common",M,Unlimited,"Metal Raiders",MRD-034,70138455 
"Blast with Chain",4,"Rare",M,Unlimited,"Legacy of Darkness",LOD-088,98239899 
"Blasting Fuse",1,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN049,99788587 
"Blasting the Ruins",4,"Common",M,Unlimited,"Invasion of Chaos",IOC-048,21466326 
"Blaze Accelerator",9,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN040,69537999 
"Blazing Hiita",8,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN028,92518817 
"Blazing Inpachi",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-061,5464695 
"Blessings of the Nile",9,"Common",M,Unlimited,"Ancient Sanctuary",AST-090,30653113 
"Blind Destruction",7,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-086,32015116 
"Blindly Loyal Goblin",3,"Common",M,Unlimited,"Dark Crisis",DCR-022,35215622 
"Block Attack",2,"Common",M,Unlimited,"Metal Raiders",MRD-133,25880422 
"Blue Thunder T-45",2,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN038,14089428 
"Blue-Eyes Toon Dragon",3,"Rare",M,Unlimited,"Retro Pack 1",RP01-EN050,53183600 
"Blue-Eyes Ultimate Dragon",1,"Secret Rare",M,Unlimited,"Retro Pack 1",RP01-EN000,23995346 
"Blue-Eyes White Dragon",1,"Ultra Rare",M,Unlimited,"Dark Beginning 1",DB1-EN098,89631139 
"Blue-Winged Crown",2,"Common",M,Unlimited,"Metal Raiders",MRD-122,41396436 
"Boar Soldier",3,"Common",M,Unlimited,"Magic Ruler",MRL-089,21340051 
"Bokoichi the Freightening Car",6,"Common",M,Unlimited,"Rise of Destiny",RDS-EN003,8715625 
"Bombardment Beetle",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-087,57409948 
"Bonding - H2O",9,"Common",M,Unlimited,"Elemental Energy",EEN-EN043,45898858 
"Boneheimer",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-057,98456117 
"Book of Eclipse",7,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN062,35480699 
"Book of Life",1,"Super Rare",M,Unlimited,"Dark Beginning 2",DB2-EN230,2204140 
"Book of Moon",5,"Rare",M,1st Edition,"Pharaonic Guardian",PGD-035,14087893 
"Book of Secret Arts",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-043,91595718 
"Book of Taiyou",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-034,38699854 
"Boss Rush",4,"Common",M,Unlimited,"Elemental Energy",EEN-EN047,66947414 
"Botanical Girl",4,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN027,84824601 
"Bottom Dweller",1,"Common",M,1st Edition,"Metal Raiders",MRD-039,81386177 
"Bottomless Shifting Sand",4,"Common",M,Unlimited,"Pharaonic Guardian",PGD-043,76532077 
"Bottomless Trap Hole",4,"Rare",M,Unlimited,"Legacy of Darkness",LOD-092,29401950 
"Bountiful Artemis",5,"Common",M,1st Edition,"Enemy of Justice",EOJ-EN020,32296881 
"Bowganian",3,"Common",M,1st Edition,"Invasion of Chaos",IOC-029,52090844 
"Brain Control",2,"Super Rare",M,Unlimited,"Dark Revelation Volume 3",DR3-EN218,87910978 
"Brain Jacker",2,"Rare",M,Unlimited,"Flaming Eternity",FET-EN034,40267580 
"Brainwashing Beam",8,"Common",M,1st Edition,"Power of the Duelist",POTD-EN060,59258334 
"Branch!",7,"Common",M,Unlimited,"Elemental Energy",EEN-EN046,30548775 
"Breaker the Magical Warrior",2,"Ultra Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN126,71413901 
"Breakthrough!",4,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN051,96218085 
"Broken Bamboo Sword",5,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN062,41587307 
"Broww, Huntsman of Dark World",3,"Rare",M,Unlimited,"Elemental Energy",EEN-EN021,79126789 
"Brron, Mad King of Dark World",3,"Rare",M,Unlimited,"Elemental Energy",EEN-EN022,6214884 
"Bubble Blaster",1,"Super Rare",M,Unlimited,"Duelist Pack 1: Jaden Yuki",DP1-EN023,53586134 
"Bubble Crash",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-090,61622107 
"Bubble Shuffle",17,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN046,61968753 
"Bubonic Vermin",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-057,6104968 
"Burning Algae",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-062,41859700 
"Burning Beast",8,"Common",M,Unlimited,"Magician's Force",MFC-016,59364406 
"Burning Land",2,"Common",M,Unlimited,"Pharaoh's Servant",PSV-061,24294108 
"Burst Breath",8,"Common",M,Unlimited,"Legacy of Darkness",LOD-049,80163754 
"Burst Return",2,"Super Rare",M,Unlimited,"Duelist Pack 1: Jaden Yuki",DP1-EN022,27191436 
"Buster Rancher",5,"Common",M,Unlimited,"Pharaonic Guardian",PGD-085,84740193 
"Butterfly Dagger - Elma",2,"Super Rare",M,Unlimited,"Dark Crisis",DCR-032,69243953 
"Byroad Sacrifice",11,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN055,36935434 
"Call of the Earthbound",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN096,65743242 
"Call of the Haunted",11,"Ultra Rare",M,Unlimited,"Pharaoh's Servant",PSV-012,97077563 
"Call of the Mummy",5,"Common",M,Unlimited,"Pharaonic Guardian",PGD-038,4861205 
"Cannon Soldier",10,"Rare",M,Unlimited,"Metal Raiders",MRD-106,11384280 
"Cannon Soldier MK-2",5,"Common",M,1st Edition,"Phantom Darkness",PTDN-EN035,14702066 
"Cannonball Spear Shellfish",1,"Common",M,Unlimited,"Invasion of Chaos",IOC-085,95614612 
"Card Destruction",1,"Rare",M,Unlimited,"Retro Pack 1",RP01-EN084,72892473 
"Card of Safe Return",3,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN232,57953380 
"Card of Sanctity",2,"Super Rare",M,Unlimited,"The Lost Millennium",TLM-EN037,42664989 
"Card Rotator",3,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN045,72767833 
"Card Shuffle",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-080,12183332 
"Card Trader",1,"Super Rare",M,Unlimited,"Strike of Neos",STON-EN046,48712195 
"Castle Gate",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN091,36931229 
"Castle of Dark Illusions",2,"Common",M,Unlimited,"Metal Raiders",MRD-073,62121 
"Cat's Ear Tribe",4,"Rare",M,Unlimited,"Magician's Force",MFC-081,95841282 
"Catnipped Kitty",9,"Common",M,Unlimited,"Flaming Eternity",FET-EN013,96501677 
"Cave Dragon",5,"Common",M,Unlimited,"Legacy of Darkness",LOD-040,93220472 
"Ceasefire",4,"Ultra Rare",M,Unlimited,"Pharaoh's Servant",PSV-030,36468556 
"Celestial Transformation",7,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN044,28890974 
"Cell Explosion Virus",4,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN076,84491298 
"Celtic Guardian",2,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN104,91152256 
"Centrifugal Field",8,"Common",M,1st Edition,"Flaming Eternity",FET-EN045,1801154 
"Ceremonial Bell",5,"Common",M,Unlimited,"Magic Ruler",MRL-092,20228463 
"Cestus of Dagla",2,"Common",M,Unlimited,"Dark Crisis",DCR-090,28106077 
"Chain Burst",3,"Rare",M,Unlimited,"Rise of Destiny",RDS-EN056,48276469 
"Chain Destruction",3,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN070,1248895 
